,node_id,x_coord,y_coord
176,321,120.6516692,31.9092193
177,324,120.6281092,31.8530736
178,326,120.6657338,31.9188622
179,327,120.6630952,31.9192884
180,328,120.6627579,31.9194517
181,329,120.628422,31.8620001
182,332,120.6359389,31.8600968
183,333,120.6579389,31.7961605
184,335,120.640797,31.8187691
185,336,120.6407522,31.8188674
186,337,120.7119722,31.9646149
187,338,120.6277057,31.8576726
188,339,120.6279758,31.8530758
189,340,120.6467803,31.8096101
190,342,120.6356207,31.8293941
191,343,120.6357938,31.8291234
192,344,120.6843008,31.9391938
193,347,120.6280651,31.858759
194,348,120.6246812,31.8632397
195,349,120.624186,31.863196
196,350,120.6247061,31.8630093
197,351,120.6260718,31.8626174
198,352,120.6642572,31.9208478
199,353,120.6658029,31.9190237
200,354,120.6510715,31.8053871
201,355,120.6568969,31.7983894
202,356,120.6569618,31.7983114
203,357,120.6579269,31.7962861
204,359,120.6630657,31.9197389
205,360,120.6360608,31.8602254
206,361,120.650097,31.9243869
207,362,120.6469466,31.9210869
208,366,120.70149,31.7605531
209,368,120.7055367,31.7580831
210,369,120.7058788,31.7578851
211,388,120.7015236,31.7604051
212,401,120.7023981,31.7598991
213,402,120.7057082,31.7581114
214,403,120.7023651,31.7600466
215,410,120.706052,31.7579124
216,413,120.6600747,31.8490846
217,415,120.6273271,31.8625419
218,417,120.6592302,31.8493003
219,421,120.6272827,31.8624184
220,423,120.7058796,31.8234915
221,424,120.7057163,31.823589
222,432,120.7057163,31.8233977
223,433,120.7058579,31.8233165
224,437,120.6673481,31.8464905
225,439,120.6157972,31.8656157
226,440,120.6103502,31.8671039
227,447,120.7225242,31.8155838
228,452,120.6675628,31.8462514
229,458,120.7610814,31.8556068
230,463,120.7306062,31.8801265
231,464,120.7304066,31.8802514
232,466,120.6104926,31.9441483
233,467,120.6109898,31.9438505
234,468,120.6110937,31.9437878
235,469,120.6115059,31.9435858
236,474,120.6430019,31.9297205
237,480,120.6865456,31.9052282
238,481,120.6894894,31.9030201
239,482,120.6898314,31.9027834
240,483,120.6934061,31.9004075
241,486,120.6791069,31.9112082
242,487,120.6789922,31.9112839
243,494,120.6787924,31.9111058
244,495,120.6789097,31.9110286
245,498,120.7609523,31.8554073
246,502,120.6115313,31.9437335
247,503,120.6112102,31.9439062
248,504,120.611085,31.94397
249,505,120.6106416,31.9441955
250,506,120.7729803,31.8393055
251,508,120.7468084,31.8654253
252,509,120.7469564,31.8653128
253,510,120.7470667,31.8655563
254,511,120.5962965,31.9504199
255,512,120.5961566,31.9504764
256,513,120.589254,31.9530059
257,514,120.5890935,31.9530655
258,517,120.5584594,31.9605851
259,518,120.5586426,31.9605576
260,519,120.5704134,31.9586153
261,520,120.5705788,31.9585786
262,522,120.6935635,31.9006036
263,523,120.6900994,31.9028036
264,524,120.6896497,31.9031151
